L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
Y,36,K,1,C,1,R,1,X,49,Y,1,S,1,Y,1,Y,1,X,49,R,1,K,1,C,1,S,1,"L1:[sp=Y,36] K=1,C=1,R=1,X=49,Y=1,S=1 || L2:[sp=Y,1] Y=1,X=49,R=1,K=1,C=1,S=1",-864001.0,-163323000.0,1,Y|Y,1
Y,36,K,1,C,1,R,1,X,133,S,2,Y,1,C,1,Y,1,X,68,K,1,R,1,C,1,S,1,"L1:[sp=Y,36] K=1,C=1,R=1,X=133,S=2,Y=1 || L2:[sp=C,1] Y=1,X=68,K=1,R=1,C=1,S=1",-930817.0,-163324000.0,1,Y|C,1
Y,36,K,1,C,1,R,1,X,133,S,2,Y,1,C,1,Y,1,X,68,R,1,K,1,C,1,S,1,"L1:[sp=Y,36] K=1,C=1,R=1,X=133,S=2,Y=1 || L2:[sp=C,1] Y=1,X=68,R=1,K=1,C=1,S=1",-930817.0,-163324000.0,1,Y|C,1
Y,36,K,1,C,3,R,1,X,1,S,1,Y,1,C,1,Y,1,X,1,S,1,R,1,C,1,K,1,"L1:[sp=Y,36] K=1,C=3,R=1,X=1,S=1,Y=1 || L2:[sp=C,1] Y=1,X=1,S=1,R=1,C=1,K=1",-1032193.0,-163323000.0,1,Y|C,1
Y,36,K,1,C,3,R,1,X,1,S,1,Y,1,Y,1,Y,1,X,1,S,1,R,1,K,1,C,1,"L1:[sp=Y,36] K=1,C=3,R=1,X=1,S=1,Y=1 || L2:[sp=Y,1] Y=1,X=1,S=1,R=1,K=1,C=1",-1032193.0,-163323000.0,1,Y|Y,1
X,36,K,1,C,3,R,1,X,1,S,1,Y,1,C,1,Y,1,X,1,S,1,R,1,C,1,K,1,"L1:[sp=X,36] K=1,C=3,R=1,X=1,S=1,Y=1 || L2:[sp=C,1] Y=1,X=1,S=1,R=1,C=1,K=1",-1032193.0,-163323000.0,1,X|C,1
K,36,K,1,C,1,S,1,X,79,R,1,Y,1,C,1,Y,1,X,68,K,1,S,1,C,1,R,1,"L1:[sp=K,36] K=1,C=1,S=1,X=79,R=1,Y=1 || L2:[sp=C,1] Y=1,X=68,K=1,S=1,C=1,R=1",-1040257.0,-163323000.0,1,K|C,1
K,36,K,1,C,1,S,2,X,79,R,1,Y,1,C,1,Y,1,X,68,K,1,S,1,C,1,R,1,"L1:[sp=K,36] K=1,C=1,S=2,X=79,R=1,Y=1 || L2:[sp=C,1] Y=1,X=68,K=1,S=1,C=1,R=1",-1052353.0,-163323000.0,1,K|C,1
X,64,Y,35,X,1,K,1,S,2,C,3,R,3,X,1,K,1,S,2,Y,1,X,1,R,1,C,1,"L1:[sp=X,64] Y=35,X=1,K=1,S=2,C=3,R=3 || L2:[sp=X,1] K=1,S=2,Y=1,X=1,R=1,C=1",-1089281.0,-163324000.0,1,X|X,1
C,64,Y,1,X,140,K,1,S,1,C,1,R,1,X,40,K,1,S,1,Y,1,X,1,R,1,C,1,"L1:[sp=C,64] Y=1,X=140,K=1,S=1,C=1,R=1 || L2:[sp=X,40] K=1,S=1,Y=1,X=1,R=1,C=1",-1161217.0,-163323000.0,1,C|X,1
C,64,Y,1,X,140,K,56,S,2,C,1,R,1,X,40,Y,1,S,1,K,1,X,3,R,1,C,1,"L1:[sp=C,64] Y=1,X=140,K=56,S=2,C=1,R=1 || L2:[sp=X,40] Y=1,S=1,K=1,X=3,R=1,C=1",-1166593.0,-163323000.0,1,C|X,1
C,64,Y,17,X,140,S,1,K,1,C,1,R,1,X,40,K,1,S,1,Y,1,X,3,R,1,C,1,"L1:[sp=C,64] Y=17,X=140,S=1,K=1,C=1,R=1 || L2:[sp=X,40] K=1,S=1,Y=1,X=3,R=1,C=1",-1177345.0,-163323000.0,1,C|X,1
K,36,K,1,C,1,R,1,X,207,S,2,Y,1,C,1,Y,1,X,68,K,1,R,1,C,1,S,1,"L1:[sp=K,36] K=1,C=1,R=1,X=207,S=2,Y=1 || L2:[sp=C,1] Y=1,X=68,K=1,R=1,C=1,S=1",-1290241.0,-163323000.0,1,K|C,1
C,64,Y,1,X,140,K,1,S,1,C,1,R,1,X,40,K,1,S,1,Y,1,X,3,R,1,C,1,"L1:[sp=C,64] Y=1,X=140,K=1,S=1,C=1,R=1 || L2:[sp=X,40] K=1,S=1,Y=1,X=3,R=1,C=1",-1419265.0,-163323000.0,1,C|X,1
