L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
C,56,X,1,Y,130,C,1,K,1,R,1,S,1,X,1,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=C,56] X=1,Y=130,C=1,K=1,R=1,S=1 || L2:[sp=X,1] X=1,C=1,S=1,Y=1,K=1,R=1",-158756865.0,-163323000.0,1,C|X,1
X,45,K,1,S,1,X,1,R,1,C,3,Y,1,C,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=X,45] K=1,S=1,X=1,R=1,C=3,Y=1 || L2:[sp=C,1] S=1,R=1,Y=1,K=1,C=1,X=1",-5619713.0,-163323000.0,1,X|C,1
X,56,Y,1,X,1,C,3,K,1,R,1,S,1,C,1,X,1,S,1,C,2,R,1,K,1,Y,1,"L1:[sp=X,56] Y=1,X=1,C=3,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,C=2,R=1,K=1,Y=1",-5619713.0,-163323000.0,1,X|C,1
K,15,K,7,S,1,Y,34,X,20,C,1,R,3,K,7,K,3,X,1,C,1,S,1,Y,1,R,1,"L1:[sp=K,15] K=7,S=1,Y=34,X=20,C=1,R=3 || L2:[sp=K,7] K=3,X=1,C=1,S=1,Y=1,R=1",-23318317.0,-163324000.0,1,K|K,1
Y,45,X,1,S,1,K,1,R,1,C,1,Y,1,C,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=Y,45] X=1,S=1,K=1,R=1,C=1,Y=1 || L2:[sp=C,1] S=1,R=1,Y=1,K=1,C=1,X=1",-8429569.0,-163323000.0,1,Y|C,1
X,56,X,1,Y,1,C,1,K,1,R,4,S,1,C,1,X,1,S,1,C,1,R,1,K,1,Y,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=4,S=1 || L2:[sp=C,1] X=1,S=1,C=1,R=1,K=1,Y=1",-17821441.0,-163323000.0,1,X|C,1
X,56,Y,1,X,38,C,3,K,1,R,1,S,1,C,1,X,1,S,1,Y,1,R,1,K,1,C,2,"L1:[sp=X,56] Y=1,X=38,C=3,K=1,R=1,S=1 || L2:[sp=C,1] X=1,S=1,Y=1,R=1,K=1,C=2",-80783361.0,-163323000.0,1,X|C,1
X,56,X,1,Y,1,C,1,K,1,R,7,S,1,C,1,X,1,Y,1,S,1,C,1,K,1,R,1,"L1:[sp=X,56] X=1,Y=1,C=1,K=1,R=7,S=1 || L2:[sp=C,1] X=1,Y=1,S=1,C=1,K=1,R=1",-29299201.0,-163323000.0,1,X|C,1
X,56,C,1,Y,1,X,1,K,1,R,1,S,1,C,1,X,1,C,1,S,1,Y,1,K,1,R,1,"L1:[sp=X,56] C=1,Y=1,X=1,K=1,R=1,S=1 || L2:[sp=C,1] X=1,C=1,S=1,Y=1,K=1,R=1",-8429569.0,-163323000.0,1,X|C,1
K,45,K,1,S,1,X,1,R,1,C,3,Y,1,C,1,S,1,R,1,Y,1,K,1,C,1,X,1,"L1:[sp=K,45] K=1,S=1,X=1,R=1,C=3,Y=1 || L2:[sp=C,1] S=1,R=1,Y=1,K=1,C=1,X=1",-9834497.0,-163323000.0,1,K|C,1
