L1_sp_dim,L1_sp_sz,L1_pos1_dim,L1_pos1_tile,L1_pos2_dim,L1_pos2_tile,L1_pos3_dim,L1_pos3_tile,L1_pos4_dim,L1_pos4_tile,L1_pos5_dim,L1_pos5_tile,L1_pos6_dim,L1_pos6_tile,L2_sp_dim,L2_sp_sz,L2_pos1_dim,L2_pos1_tile,L2_pos2_dim,L2_pos2_tile,L2_pos3_dim,L2_pos3_tile,L2_pos4_dim,L2_pos4_tile,L2_pos5_dim,L2_pos5_tile,L2_pos6_dim,L2_pos6_tile,genome_str,fitness1,fitness2,valid,genome_pattern,layer
X,12,Y,1,K,23,S,3,C,3,R,1,X,2,C,3,X,2,R,1,Y,1,K,22,C,1,S,3,"L1:[sp=X,12] Y=1,K=23,S=3,C=3,R=1,X=2 || L2:[sp=C,3] X=2,R=1,Y=1,K=22,C=1,S=3",-383041.0,-163323000.0,1,X|C,1
X,12,X,2,K,23,S,3,C,3,Y,1,R,1,C,3,X,1,K,22,R,1,S,3,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=3,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,K=22,R=1,S=3,C=1,Y=1",-383041.0,-163323000.0,1,X|C,1
X,12,X,2,K,23,S,3,C,3,Y,1,R,1,C,3,R,1,X,1,K,22,S,3,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=3,C=3,Y=1,R=1 || L2:[sp=C,3] R=1,X=1,K=22,S=3,C=1,Y=1",-383041.0,-163323000.0,1,X|C,1
X,12,X,2,K,23,S,3,C,3,Y,1,R,1,C,3,S,3,X,1,K,22,R,1,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=3,C=3,Y=1,R=1 || L2:[sp=C,3] S=3,X=1,K=22,R=1,C=1,Y=1",-383041.0,-163323000.0,1,X|C,1
Y,12,X,1,K,23,S,3,C,3,Y,1,R,1,C,3,X,1,R,1,K,22,S,3,C,1,Y,1,"L1:[sp=Y,12] X=1,K=23,S=3,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,K=22,S=3,C=1,Y=1",-383617.0,-163323000.0,1,Y|C,1
X,12,X,2,K,23,S,3,R,1,Y,14,C,3,C,3,X,2,C,1,K,21,S,3,R,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=3,R=1,Y=14,C=3 || L2:[sp=C,3] X=2,C=1,K=21,S=3,R=1,Y=1",-387361.0,-163324000.0,1,X|C,1
X,12,X,2,K,23,S,3,R,1,Y,14,C,3,C,3,X,2,C,1,K,21,S,3,Y,1,R,1,"L1:[sp=X,12] X=2,K=23,S=3,R=1,Y=14,C=3 || L2:[sp=C,3] X=2,C=1,K=21,S=3,Y=1,R=1",-387361.0,-163324000.0,1,X|C,1
X,12,X,2,K,23,S,3,R,1,Y,14,C,3,C,3,X,1,C,1,K,21,S,3,R,1,Y,2,"L1:[sp=X,12] X=2,K=23,S=3,R=1,Y=14,C=3 || L2:[sp=C,3] X=1,C=1,K=21,S=3,R=1,Y=2",-387361.0,-163324000.0,1,X|C,1
X,12,X,2,K,23,S,3,R,1,Y,14,C,3,C,3,X,2,C,1,K,21,Y,1,S,3,R,1,"L1:[sp=X,12] X=2,K=23,S=3,R=1,Y=14,C=3 || L2:[sp=C,3] X=2,C=1,K=21,Y=1,S=3,R=1",-387361.0,-163324000.0,1,X|C,1
X,12,X,2,K,23,S,1,R,1,Y,14,C,3,C,3,X,2,C,1,K,21,S,1,R,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=1,R=1,Y=14,C=3 || L2:[sp=C,3] X=2,C=1,K=21,S=1,R=1,Y=1",-387937.0,-163324000.0,1,X|C,1
X,12,X,2,K,23,S,1,R,1,Y,14,C,3,C,3,X,1,C,1,K,21,S,1,R,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=1,R=1,Y=14,C=3 || L2:[sp=C,3] X=1,C=1,K=21,S=1,R=1,Y=1",-387937.0,-163324000.0,1,X|C,1
X,12,X,2,K,23,S,3,C,3,Y,1,R,1,C,3,X,1,R,1,K,21,S,3,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=3,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,K=21,S=3,C=1,Y=1",-391105.0,-163323000.0,1,X|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,X,1,R,1,K,22,S,1,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,K=22,S=1,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,X,1,K,22,R,1,S,1,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,K=22,R=1,S=1,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,S,1,C,3,R,1,Y,1,C,3,X,1,R,1,Y,1,S,1,C,1,K,22,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,R=1,Y=1 || L2:[sp=C,3] X=1,R=1,Y=1,S=1,C=1,K=22",-391105.0,-163323000.0,1,Y|C,1
X,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,S,1,X,1,K,22,R,1,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] S=1,X=1,K=22,R=1,C=1,Y=1",-391105.0,-163323000.0,1,X|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,X,1,R,1,C,1,S,1,K,22,Y,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,C=1,S=1,K=22,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,R,1,X,1,K,22,S,1,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] R=1,X=1,K=22,S=1,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,Y,1,K,23,S,1,C,3,X,2,R,1,C,3,X,1,R,1,K,22,S,1,C,1,Y,1,"L1:[sp=Y,12] Y=1,K=23,S=1,C=3,X=2,R=1 || L2:[sp=C,3] X=1,R=1,K=22,S=1,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,S,1,R,1,K,22,X,1,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] S=1,R=1,K=22,X=1,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,C,3,K,23,S,1,X,2,Y,1,R,1,C,3,X,1,R,1,K,22,S,1,C,1,Y,1,"L1:[sp=Y,12] C=3,K=23,S=1,X=2,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,K=22,S=1,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
X,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,X,1,Y,1,K,22,S,1,C,1,R,1,"L1:[sp=X,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,Y=1,K=22,S=1,C=1,R=1",-391105.0,-163323000.0,1,X|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,X,1,R,1,Y,1,S,1,C,1,K,22,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,Y=1,S=1,C=1,K=22",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,X,2,R,1,K,22,S,1,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=2,R=1,K=22,S=1,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,Y,1,K,23,S,1,C,3,X,2,R,1,C,3,Y,1,R,1,K,22,S,1,C,1,X,1,"L1:[sp=Y,12] Y=1,K=23,S=1,C=3,X=2,R=1 || L2:[sp=C,3] Y=1,R=1,K=22,S=1,C=1,X=1",-391105.0,-163323000.0,1,Y|C,1
X,12,X,2,K,23,S,1,R,1,Y,1,C,3,C,3,X,1,R,1,K,22,S,1,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=1,R=1,Y=1,C=3 || L2:[sp=C,3] X=1,R=1,K=22,S=1,C=1,Y=1",-391105.0,-163323000.0,1,X|C,1
Y,12,X,2,K,23,C,3,S,1,Y,1,R,1,C,3,R,1,Y,1,K,22,S,1,C,1,X,1,"L1:[sp=Y,12] X=2,K=23,C=3,S=1,Y=1,R=1 || L2:[sp=C,3] R=1,Y=1,K=22,S=1,C=1,X=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,C,3,S,1,Y,1,R,1,C,3,R,1,C,1,K,22,S,1,Y,1,X,1,"L1:[sp=Y,12] X=2,K=23,C=3,S=1,Y=1,R=1 || L2:[sp=C,3] R=1,C=1,K=22,S=1,Y=1,X=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,R,1,X,1,K,22,C,1,Y,1,S,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] R=1,X=1,K=22,C=1,Y=1,S=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,C,3,S,1,Y,1,R,1,C,3,R,1,K,22,Y,1,S,1,C,1,X,2,"L1:[sp=Y,12] X=2,K=23,C=3,S=1,Y=1,R=1 || L2:[sp=C,3] R=1,K=22,Y=1,S=1,C=1,X=2",-391105.0,-163323000.0,1,Y|C,1
Y,12,K,23,X,2,C,3,S,1,Y,1,R,1,C,3,R,1,C,1,K,22,S,1,Y,1,X,1,"L1:[sp=Y,12] K=23,X=2,C=3,S=1,Y=1,R=1 || L2:[sp=C,3] R=1,C=1,K=22,S=1,Y=1,X=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,R,1,C,3,Y,1,S,1,C,3,X,1,R,1,K,22,S,1,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,R=1,C=3,Y=1,S=1 || L2:[sp=C,3] X=1,R=1,K=22,S=1,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,R,1,C,3,Y,1,S,1,C,3,X,2,R,1,S,1,K,22,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,R=1,C=3,Y=1,S=1 || L2:[sp=C,3] X=2,R=1,S=1,K=22,C=1,Y=1",-391105.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,X,1,R,1,K,22,Y,1,C,1,S,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,K=22,Y=1,C=1,S=1",-391105.0,-163323000.0,1,Y|C,1
X,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,X,2,K,21,R,1,S,1,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=2,K=21,R=1,S=1,C=1,Y=1",-399169.0,-163323000.0,1,X|C,1
X,12,X,2,K,23,S,1,R,1,Y,1,C,3,C,3,X,2,R,1,K,21,S,1,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=1,R=1,Y=1,C=3 || L2:[sp=C,3] X=2,R=1,K=21,S=1,C=1,Y=1",-399169.0,-163323000.0,1,X|C,1
X,12,X,2,K,23,S,3,C,3,Y,1,R,1,C,3,X,1,K,20,R,1,S,3,C,1,Y,1,"L1:[sp=X,12] X=2,K=23,S=3,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,K=20,R=1,S=3,C=1,Y=1",-399169.0,-163323000.0,1,X|C,1
Y,12,X,1,C,3,S,3,Y,1,R,1,K,23,C,3,X,1,S,3,K,20,R,1,Y,1,C,1,"L1:[sp=Y,12] X=1,C=3,S=3,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,S=3,K=20,R=1,Y=1,C=1",-399601.0,-163323000.0,1,Y|C,1
Y,12,X,1,C,3,S,3,Y,1,R,1,K,23,C,3,X,1,S,3,C,1,R,1,Y,1,K,20,"L1:[sp=Y,12] X=1,C=3,S=3,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,S=3,C=1,R=1,Y=1,K=20",-399601.0,-163323000.0,1,Y|C,1
Y,12,X,1,C,3,S,3,Y,1,R,1,K,23,C,3,X,1,C,1,K,20,R,1,Y,1,S,3,"L1:[sp=Y,12] X=1,C=3,S=3,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,C=1,K=20,R=1,Y=1,S=3",-399601.0,-163323000.0,1,Y|C,1
Y,12,X,1,R,1,S,3,Y,1,C,3,K,23,C,3,X,1,S,3,R,1,Y,1,C,1,K,20,"L1:[sp=Y,12] X=1,R=1,S=3,Y=1,C=3,K=23 || L2:[sp=C,3] X=1,S=3,R=1,Y=1,C=1,K=20",-399601.0,-163323000.0,1,Y|C,1
Y,12,X,1,C,3,S,3,Y,1,R,1,K,23,C,3,X,1,Y,1,K,20,R,1,S,3,C,1,"L1:[sp=Y,12] X=1,C=3,S=3,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,Y=1,K=20,R=1,S=3,C=1",-399601.0,-163323000.0,1,Y|C,1
Y,12,S,3,C,3,X,1,Y,1,R,1,K,23,C,3,X,1,S,3,K,20,R,1,Y,1,C,1,"L1:[sp=Y,12] S=3,C=3,X=1,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,S=3,K=20,R=1,Y=1,C=1",-399601.0,-163323000.0,1,Y|C,1
X,12,Y,1,C,3,S,3,X,1,R,1,K,23,C,3,X,1,S,3,K,20,R,1,Y,1,C,1,"L1:[sp=X,12] Y=1,C=3,S=3,X=1,R=1,K=23 || L2:[sp=C,3] X=1,S=3,K=20,R=1,Y=1,C=1",-403201.0,-163323000.0,1,X|C,1
X,12,Y,1,C,3,S,3,X,1,R,1,K,23,C,3,K,20,S,3,X,1,R,1,Y,1,C,1,"L1:[sp=X,12] Y=1,C=3,S=3,X=1,R=1,K=23 || L2:[sp=C,3] K=20,S=3,X=1,R=1,Y=1,C=1",-403201.0,-163323000.0,1,X|C,1
X,12,X,1,C,3,S,3,Y,1,R,1,K,23,C,3,X,1,S,3,K,20,R,1,Y,1,C,1,"L1:[sp=X,12] X=1,C=3,S=3,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,S=3,K=20,R=1,Y=1,C=1",-403201.0,-163323000.0,1,X|C,1
X,12,X,1,K,23,S,1,C,3,Y,1,R,1,C,3,X,1,R,1,Y,1,S,1,C,1,K,22,"L1:[sp=X,12] X=1,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,Y=1,S=1,C=1,K=22",-403201.0,-163323000.0,1,X|C,1
Y,12,X,2,K,24,S,3,C,3,Y,1,R,1,C,3,X,1,R,1,K,22,S,3,C,1,Y,1,"L1:[sp=Y,12] X=2,K=24,S=3,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,K=22,S=3,C=1,Y=1",-403597.0,-163323000.0,1,Y|C,1
X,12,X,2,K,47,S,3,Y,1,C,3,R,1,C,3,K,22,R,1,Y,1,S,3,C,1,X,2,"L1:[sp=X,12] X=2,K=47,S=3,Y=1,C=3,R=1 || L2:[sp=C,3] K=22,R=1,Y=1,S=3,C=1,X=2",-405889.0,-163323000.0,1,X|C,1
Y,12,X,2,C,3,S,1,Y,1,R,1,K,23,C,3,X,1,C,1,K,20,R,1,Y,1,S,1,"L1:[sp=Y,12] X=2,C=3,S=1,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,C=1,K=20,R=1,Y=1,S=1",-407233.0,-163323000.0,1,Y|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,S,1,R,1,K,20,X,2,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] S=1,R=1,K=20,X=2,C=1,Y=1",-407233.0,-163323000.0,1,Y|C,1
Y,12,X,2,Y,1,S,1,C,3,K,23,R,1,C,3,S,1,R,1,K,20,X,2,C,1,Y,1,"L1:[sp=Y,12] X=2,Y=1,S=1,C=3,K=23,R=1 || L2:[sp=C,3] S=1,R=1,K=20,X=2,C=1,Y=1",-407233.0,-163323000.0,1,Y|C,1
Y,12,X,2,Y,1,S,1,C,3,K,23,R,1,C,3,S,1,R,1,K,20,X,1,C,1,Y,1,"L1:[sp=Y,12] X=2,Y=1,S=1,C=3,K=23,R=1 || L2:[sp=C,3] S=1,R=1,K=20,X=1,C=1,Y=1",-407233.0,-163323000.0,1,Y|C,1
Y,12,X,2,Y,1,C,3,S,1,K,23,R,1,C,3,S,1,R,1,K,20,X,1,C,1,Y,1,"L1:[sp=Y,12] X=2,Y=1,C=3,S=1,K=23,R=1 || L2:[sp=C,3] S=1,R=1,K=20,X=1,C=1,Y=1",-407233.0,-163323000.0,1,Y|C,1
X,12,K,23,C,3,S,3,R,1,Y,1,X,1,C,3,X,1,S,3,K,19,R,1,Y,1,C,1,"L1:[sp=X,12] K=23,C=3,S=3,R=1,Y=1,X=1 || L2:[sp=C,3] X=1,S=3,K=19,R=1,Y=1,C=1",-411265.0,-163323000.0,1,X|C,1
X,12,K,23,Y,1,S,3,R,1,C,3,X,1,C,3,X,1,S,3,K,19,R,1,Y,1,C,1,"L1:[sp=X,12] K=23,Y=1,S=3,R=1,C=3,X=1 || L2:[sp=C,3] X=1,S=3,K=19,R=1,Y=1,C=1",-411265.0,-163323000.0,1,X|C,1
Y,12,X,2,K,23,S,1,C,3,Y,1,R,1,C,3,R,1,X,1,K,19,S,1,C,1,Y,1,"L1:[sp=Y,12] X=2,K=23,S=1,C=3,Y=1,R=1 || L2:[sp=C,3] R=1,X=1,K=19,S=1,C=1,Y=1",-415297.0,-163323000.0,1,Y|C,1
Y,12,X,1,C,3,S,1,Y,1,R,1,K,23,C,3,X,1,S,1,K,20,R,1,Y,1,C,1,"L1:[sp=Y,12] X=1,C=3,S=1,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,S=1,K=20,R=1,Y=1,C=1",-419329.0,-163323000.0,1,Y|C,1
Y,12,K,23,C,3,S,1,Y,1,R,1,X,1,C,3,X,1,S,1,K,20,R,1,Y,1,C,1,"L1:[sp=Y,12] K=23,C=3,S=1,Y=1,R=1,X=1 || L2:[sp=C,3] X=1,S=1,K=20,R=1,Y=1,C=1",-419329.0,-163323000.0,1,Y|C,1
Y,12,X,1,R,1,S,1,Y,1,C,3,K,23,C,3,X,1,S,1,K,20,R,1,Y,1,C,1,"L1:[sp=Y,12] X=1,R=1,S=1,Y=1,C=3,K=23 || L2:[sp=C,3] X=1,S=1,K=20,R=1,Y=1,C=1",-419329.0,-163323000.0,1,Y|C,1
Y,12,X,1,R,1,S,1,Y,1,C,3,K,23,C,3,X,1,S,1,C,1,Y,1,R,1,K,20,"L1:[sp=Y,12] X=1,R=1,S=1,Y=1,C=3,K=23 || L2:[sp=C,3] X=1,S=1,C=1,Y=1,R=1,K=20",-419329.0,-163323000.0,1,Y|C,1
X,12,X,1,C,3,S,1,Y,1,R,1,K,23,C,3,X,1,Y,1,R,1,K,20,S,1,C,1,"L1:[sp=X,12] X=1,C=3,S=1,Y=1,R=1,K=23 || L2:[sp=C,3] X=1,Y=1,R=1,K=20,S=1,C=1",-419329.0,-163323000.0,1,X|C,1
X,12,X,1,K,23,S,1,R,1,Y,14,C,3,Y,2,X,1,C,1,K,21,S,1,Y,1,R,1,"L1:[sp=X,12] X=1,K=23,S=1,R=1,Y=14,C=3 || L2:[sp=Y,2] X=1,C=1,K=21,S=1,Y=1,R=1",-436753.0,-163323000.0,1,X|Y,1
X,12,K,25,C,3,X,1,Y,1,R,1,S,3,C,3,X,1,K,21,Y,1,R,1,S,3,C,1,"L1:[sp=X,12] K=25,C=3,X=1,Y=1,R=1,S=3 || L2:[sp=C,3] X=1,K=21,Y=1,R=1,S=3,C=1",-443521.0,-163323000.0,1,X|C,1
X,12,K,25,C,3,X,1,Y,1,R,1,S,3,C,3,X,1,K,21,Y,1,R,1,C,1,S,3,"L1:[sp=X,12] K=25,C=3,X=1,Y=1,R=1,S=3 || L2:[sp=C,3] X=1,K=21,Y=1,R=1,C=1,S=3",-443521.0,-163323000.0,1,X|C,1
Y,12,X,2,K,23,S,3,Y,1,R,1,C,3,X,2,X,1,C,1,K,20,R,1,Y,1,S,3,"L1:[sp=Y,12] X=2,K=23,S=3,Y=1,R=1,C=3 || L2:[sp=X,2] X=1,C=1,K=20,R=1,Y=1,S=3",-443557.0,-163323000.0,1,Y|X,1
Y,12,X,2,K,49,S,3,C,3,Y,1,R,1,C,3,X,1,R,1,K,21,S,3,C,1,Y,1,"L1:[sp=Y,12] X=2,K=49,S=3,C=3,Y=1,R=1 || L2:[sp=C,3] X=1,R=1,K=21,S=3,C=1,Y=1",-450217.0,-163323000.0,1,Y|C,1
X,12,K,25,C,3,X,1,Y,1,R,1,S,1,C,3,X,1,K,21,Y,1,R,1,S,1,C,1,"L1:[sp=X,12] K=25,C=3,X=1,Y=1,R=1,S=1 || L2:[sp=C,3] X=1,K=21,Y=1,R=1,S=1,C=1",-459649.0,-163323000.0,1,X|C,1
Y,12,R,1,K,28,S,3,Y,1,C,3,X,2,C,3,R,1,K,26,X,1,Y,1,C,1,S,3,"L1:[sp=Y,12] R=1,K=28,S=3,Y=1,C=3,X=2 || L2:[sp=C,3] R=1,K=26,X=1,Y=1,C=1,S=3",-467533.0,-163323000.0,1,Y|C,1
X,12,K,25,C,3,X,1,Y,1,R,1,S,1,C,3,X,1,S,1,Y,1,R,1,K,20,C,1,"L1:[sp=X,12] K=25,C=3,X=1,Y=1,R=1,S=1 || L2:[sp=C,3] X=1,S=1,Y=1,R=1,K=20,C=1",-467713.0,-163323000.0,1,X|C,1
